Numero sentences totale:                    ,1803
Numero sentences con 0 lemmi modali:        ,1713
Numero sentences con 1 lemma modale:        ,85
Numero sentences con 2 lemmi modali:        ,5
Numero sentences con 3 o piu' lemmi modali: ,0
Numero frasi trovate (almeno 2 occorrenze): ,5
