Numero sentences totale:                    ,1277
Numero sentences con 0 lemmi modali:        ,1175
Numero sentences con 1 lemma modale:        ,97
Numero sentences con 2 lemmi modali:        ,4
Numero sentences con 3 o piu' lemmi modali: ,1
Numero frasi trovate (almeno 2 occorrenze): ,5
