Numero sentences totale:                    ,1948
Numero sentences con 0 lemmi modali:        ,1830
Numero sentences con 1 lemma modale:        ,116
Numero sentences con 2 lemmi modali:        ,2
Numero sentences con 3 o piu' lemmi modali: ,0
Numero frasi trovate (almeno 2 occorrenze): ,2
